year,regname,ball100,ball12,ball
2019,Вінницька область,139.32719333068678,6.6414298018949182,48.58245335450576
2020,Вінницька область,143.13394435656463,7.6767228019423494,53.08988554945566
2019,Волинська область,142.87733519433112,6.8195039458850056,51.30169637105433
2020,Волинська область,145.30389712636136,7.7483120241344634,54.669334732974676
2019,Дніпропетровська область,139.38135809289082,6.5501970785995827,48.37555772744656
2020,Дніпропетровська область,141.48656508363777,7.5153256704980843,51.736396846760236
2019,Донецька область,139.32130102040816,6.5746421267893661,48.579081632653065
2020,Донецька область,140.4487585082926,7.3881317737954716,51.002588438308884
2019,Житомирська область,141.14585770498778,6.7387727116900926,49.93991279378922
2020,Житомирська область,143.9594496302582,7.7117857616333024,53.730876469875135
2019,Закарпатська область,132.35903890160182,5.9796767292607559,43.49027459954233
2020,Закарпатська область,136.04820444047087,6.9533596837944664,47.71226344807033
2019,Запорізька область,138.2280638722555,6.4494292540483143,47.51409181636726
2020,Запорізька область,138.9108703738144,7.2914873517371680,49.779523898084435
2019,Івано-Франківська область,140.3069737328894,6.7511484703352556,49.360247872734
2020,Івано-Франківська область,145.36559734513276,7.7677799135031235,54.903650442477876
2019,Київська область,144.16048444762245,6.9070067487098055,52.17304254558456
2020,Київська область,144.2852869186837,7.6654894046417760,53.86982141238328
2019,Кіровоградська область,139.76468764532632,6.5223905443649076,48.850410789024956
2020,Кіровоградська область,141.41827817032353,7.4614114733801073,51.682409817776126
2019,Луганська область,138.63123103597746,6.5098747591522158,47.871478110099694
2020,Луганська область,140.9352911896466,7.5375527426160338,51.32155301144848
2019,Львівська область,146.75246091488128,7.1563438632832729,54.498021617448366
2020,Львівська область,151.4402438357662,8.1958274063537221,59.57077251107102
2019,м.Київ,148.02905976369823,7.2381678096689527,55.07884372729706
2020,м.Київ,150.51607492311993,8.1894838229499584,58.77395263389113
2019,Миколаївська область,137.8667201926937,6.4628852553899580,47.36879432624114
2020,Миколаївська область,138.9648025324088,7.3058430717863105,49.84051854085016
2019,Одеська область,137.60563459801264,6.3385244900451936,47.10710252935863
2020,Одеська область,140.68042106578372,7.4615596015115081,51.14824764165677
2019,Полтавська область,141.1449936874818,6.7393791715224070,49.85908517043799
2020,Полтавська область,143.0638045808417,7.6665391969407266,52.97168001805258
2019,Рівненська область,139.10791113791717,6.4681096984343806,48.50070365902694
2020,Рівненська область,145.51385836385836,7.7554585152838428,54.96056166056166
2019,Сумська область,140.86154559915164,6.6965477226573832,49.68584305408272
2020,Сумська область,145.0845649855249,7.8850210970464135,54.57153740667378
2019,Тернопільська область,141.1936074173478,6.6849826277184404,50.0169574234476
2020,Тернопільська область,144.6945768772348,7.6277698071098358,54.28530989272944
2019,Харківська область,144.12282105030891,6.9596754807692308,52.03006398940865
2020,Харківська область,145.49310100831417,7.8038315181734680,54.80729995872398
2019,Херсонська область,137.6580227942118,6.4668878750172819,47.18478678447945
2020,Херсонська область,139.0223091076357,7.2985877605917956,49.86921189819074
2019,Хмельницька область,140.4542069992554,6.6193258426966292,49.39655355813211
2020,Хмельницька область,144.19422767248855,7.6928818981604905,53.88405797101449
2019,Черкаська область,142.1001991535972,6.6948280530733821,50.392332586507344
2020,Черкаська область,143.38831033585004,7.6511063526052819,53.21543868784171
2019,Чернівецька область,133.1912654943788,6.1349350256875189,44.00994522917267
2020,Чернівецька область,140.99635456638526,7.4785577128227011,51.42785878741366
2019,Чернігівська область,143.22106741573035,6.7978950579621721,51.46095505617978
2020,Чернігівська область,143.75914348233823,7.5225983846021653,53.51516098780869
