year,regname,ball100,ball12,ball
2019,Вінницька область,139.32719333068678,6.641429801894918,48.58245335450576
2020,Вінницька область,143.13394435656463,7.67672280194235,53.08988554945566
2019,Волинська область,142.87733519433112,6.819503945885006,51.30169637105433
2020,Волинська область,145.30389712636136,7.748312024134464,54.669334732974676
2019,Дніпропетровська область,139.38135809289082,6.550197078599583,48.37555772744656
2020,Дніпропетровська область,141.48656508363777,7.515325670498084,51.736396846760236
2019,Донецька область,139.32130102040816,6.574642126789366,48.579081632653065
2020,Донецька область,140.4487585082926,7.388131773795472,51.002588438308884
2019,Житомирська область,141.14585770498778,6.738772711690093,49.93991279378922
2020,Житомирська область,143.9594496302582,7.711785761633302,53.730876469875135
2019,Закарпатська область,132.35903890160182,5.979676729260756,43.49027459954233
2020,Закарпатська область,136.04820444047087,6.953359683794466,47.71226344807033
2019,Запорізька область,138.2280638722555,6.449429254048314,47.51409181636726
2020,Запорізька область,138.9108703738144,7.291487351737168,49.779523898084435
2019,Івано-Франківська область,140.3069737328894,6.751148470335256,49.360247872734
2020,Івано-Франківська область,145.36559734513276,7.767779913503124,54.903650442477876
2019,Київська область,144.16048444762245,6.907006748709805,52.17304254558456
2020,Київська область,144.2852869186837,7.665489404641776,53.86982141238328
2019,Кіровоградська область,139.76468764532632,6.5223905443649075,48.850410789024956
2020,Кіровоградська область,141.41827817032353,7.461411473380108,51.682409817776126
2019,Луганська область,138.63123103597746,6.509874759152216,47.871478110099694
2020,Луганська область,140.9352911896466,7.537552742616033,51.32155301144848
2019,Львівська область,146.75246091488128,7.156343863283273,54.498021617448366
2020,Львівська область,151.4402438357662,8.195827406353722,59.57077251107102
2019,м.Київ,148.02905976369823,7.238167809668953,55.07884372729706
2020,м.Київ,150.51607492311993,8.189483822949958,58.77395263389113
2019,Миколаївська область,137.8667201926937,6.462885255389958,47.36879432624114
2020,Миколаївська область,138.9648025324088,7.3058430717863105,49.84051854085016
2019,Одеська область,137.60563459801264,6.338524490045193,47.10710252935863
2020,Одеська область,140.68042106578372,7.461559601511508,51.14824764165677
2019,Полтавська область,141.1449936874818,6.739379171522407,49.85908517043799
2020,Полтавська область,143.0638045808417,7.666539196940726,52.97168001805258
2019,Рівненська область,139.10791113791717,6.468109698434381,48.50070365902694
2020,Рівненська область,145.51385836385836,7.755458515283843,54.96056166056166
2019,Сумська область,140.86154559915164,6.6965477226573835,49.68584305408272
2020,Сумська область,145.0845649855249,7.885021097046414,54.57153740667378
2019,Тернопільська область,141.1936074173478,6.6849826277184405,50.0169574234476
2020,Тернопільська область,144.6945768772348,7.627769807109836,54.28530989272944
2019,Харківська область,144.12282105030891,6.9596754807692305,52.03006398940865
2020,Харківська область,145.49310100831417,7.803831518173468,54.80729995872398
2019,Херсонська область,137.6580227942118,6.466887875017282,47.18478678447945
2020,Херсонська область,139.0223091076357,7.298587760591795,49.86921189819074
2019,Хмельницька область,140.4542069992554,6.619325842696629,49.39655355813211
2020,Хмельницька область,144.19422767248855,7.692881898160491,53.88405797101449
2019,Черкаська область,142.1001991535972,6.694828053073382,50.392332586507344
2020,Черкаська область,143.38831033585004,7.651106352605282,53.21543868784171
2019,Чернівецька область,133.1912654943788,6.134935025687519,44.00994522917267
2020,Чернівецька область,140.99635456638526,7.478557712822701,51.42785878741366
2019,Чернігівська область,143.22106741573035,6.797895057962172,51.46095505617978
2020,Чернігівська область,143.75914348233823,7.522598384602166,53.51516098780869
